word,count
u,503
ga,305
ta,112
ning,80
bu,52
va,51
yo,45
ishi,41
o‘z,39
men,36
2,34
ham,34
bosh,33
xususiy,32
davlat,28
bor,27
shu,26
bir,25
uni,24
bilan,24
kompaniya,23
1,23
yil,22
-,21
pul,19
ega,18
xususiylashtirish,18
ular,18
may,18
boshqa,18
 ,17
foiz,15
beri,15
har,15
ko‘rsatuv,15
20,14
ulush,13
deb,13
o‘zbekiston,13
boshlovchi,13
uchun,13
uz,12
uning,12
9,11
kun,11
sement,11
group,11
–,11
bo‘lgan,11
6,10
aka,10
korxona,10
ammo,10
so‘m,10
ulushi,10
gal,9
mulk,9
yana,9
neft,9
jamiyat,9
olgan,9
etgan,9
ishga,9
bo‘yicha,9
ikki,9
o‘zbekistonda,8
xat,8
narx,8
ko‘p,8
jahon,8
keyin,8
ma’lum,8
ancha,7
jahongir,7
shaffof,7
eng,7
yangi,7
3,7
o‘tgan,7
o‘zi,7
aktivlar,7
amalga,7
samara,7
to‘g‘ri,7
qilgan,7
jarayon,7
soni,7
esa,7
eriell,6
berish,6
bunda,6
boshqaruv,6
gaz,6
xo‘jayev,6
raqobat,6
ishtirok,6
yuqori,6
bozor,6
ro‘y,6
qiladi,6
toshkent,6
lekin,6
edi,6
mumkin,6
yillar,6
olib,6
qimmat,5
ies,5
pulini,5
bo‘lib,5
yer,5
qanday,5
oxirgi,5
yubor,5
ularni,5
meni,5
degan,5
xabar,5
qizilqumsement,5
o‘yin,5
ishlar,5
olmagan,5
egalik,5
imkon,5
qancha,5
kompaniyaga,5
yaxshi,5
yirik,5
biri,5
korxonalar,5
asosiy,5
xizmat,5
oyida,5
yili,5
jamiyatning,4
tomon,4
savol,4
ishonch,4
ekan,4
yanada,4
ochiq,4
maqsad,4
borib,4
biz,4
mlrd,4
cement,4
mirvohid,4
iqtisodiy,4
mamlakatda,4
undan,4
pulni,4
2021,4
konlar,4
tashkil,4
to‘g‘risida,4
rasmiy,4
ketgan,4
shaxs,4
united,4
boshlovchilik,4
kerak,4
shartnoma,4
muhim,4
angren,4
shuningdek,4
turli,4
loyiha,4
xususiylashtirilishi,4
kuni,4
foyda,4
narxlarda,4
oldin,4
ko‘ra,4
xalqaro,4
sonida,4
katta,4
qilish,4
10,4
juda,4
qurilish,4
investor,4
qolgan,4
avval,4
sovg‘a,4
qilib,4
faqat,4
qayta,4
ro‘yxatdan,4
emas,4
olish,4
aks,4
odam,4
kompaniyalar,4
kompaniyasi,4
aktivlarini,4
xarid,4
uchta,4
xil,4
kelgan,4
nogironlar,4
yordam,4
deya,3
haligacha,3
bora,3
jamoatchilik,3
issiqlik,3
qolgani,3
shubha,3
etib,3
ijtimoiy,3
keyingi,3
sotilgan,3
kiprda,3
o‘tib,3
olmagani,3
foizi,3
bo‘ladi,3
chunki,3
sonidan,3
bo‘lmagan,3
narxi,3
92,3
kompleks,3
deydi,3
zavodni,3
ko‘proq,3
mulkni,3
hisoblanadi,3
xayrli,3
yozgan,3
kelishi,3
pulim,3
bitta,3
ularning,3
qilingan,3
samarali,3
berilishi,3
natija,3
kabi,3
nomi,3
sub’yektiv,3
bo‘ldi,3
doirasida,3
budjet,3
tomonidan,3
aytgan,3
kompaniyasiga,3
e’tibor,3
berilgan,3
qimmatga,3
dilshod,3
boshqarish,3
beradi,3
ikkinchi,3
dekabr,3
zavodlari,3
o‘tishi,3
ko‘mak,3
boshlovchilar,3
sifat,3
mavjud,3
taqa,3
buning,3
ularga,3
onkologiya,3
dollar,3
davlatning,3
ko‘rsatuvni,3
korxonalarini,3
limited,3
tegishli,3
75,3
savdo,3
sotib,3
tashqari,3
qiyinchiliklar,3
25,3
yilni,3
zavodi,3
murojaat,3
taxminan,3
bo‘lishi,3
yillarda,3
sarmoya,3
nima,3
savollar,3
qismi,3
omadingizni,3
bersin,3
qo‘llab-quvvatlash,3
ishonchli,3
xizmati,3
so‘mga,3
auksion,3
boshqaruvga,3
yilning,2
ko‘rsatuvlar,2
fozilov,2
80,2
biroq,2
xati,2
foizlik,2
videomurojaat,2
beraman,2
bo‘lsa,2
keladi,2
zarur,2
shaxslar,2
imkoniyati,2
mayli,2
belgilangan,2
ko‘rsatuvini,2
tashkilot,2
yilda,2
odamlar,2
mimar,2
yozgandi,2
boshlovchiman,2
o‘zbekistonga,2
kunda,2
yoki,2
nisbatan,2
ma’lumotga,2
ishlarning,2
yetgan,2
17,2
ishtiroki,2
sana,2
qaysidir,2
olsa,2
o‘zbekneftgaz,2
qazib,2
demak,2
javob,2
jarayonlari,2
hozir,2
berishmadi,2
noma’lum,2
ovozli,2
kompaniyalari,2
ehtimol,2
shahridagi,2
imtiyozlar,2
birlashgan,2
qanaqa,2
bunga,2
firma,2
bugungi,2
mamlakatdagi,2
past,2
teleo‘yini,2
bundan,2
o‘nta,2
ochgan,2
sababli,2
zavodlarining,2
yuborilgani,2
million,2
o‘tkazib,2
yuzdan,2
nafar,2
belvor,2
ko‘rsatuvda,2
berilishini,2
jizzakh,2
jihat,2
orqali,2
umuman,2
ketib,2
korxonaning,2
  ,2
etishi,2
aylandi,2
qaratish,2
konlari,2
tariqa,2
xulosa,2
talimarjon,2
foydalanish,2
holdingi,2
sifati,2
xaridorlar,2
holda,2
yo‘q,2
ko‘rsatuvning,2
qo‘liga,2
hamda,2
pulimni,2
ko‘maklashish,2
milliard,2
shahar,2
ko‘zda,2
bo‘lgani,2
o‘zbekistonlik,2
obekt,2
darajada,2
muammo,2
tuzilgan,2
kompaniyani,2
zavodning,2
muloqot,2
oldimga,2
arzonroq,2
87,2
neftni,2
nogironlarga,2
kapital,2
kelib,2
«mehribonlik»,2
joriy,2
ishtirokchi,2
11,2
mulkdor,2
agentligi,2
oralig‘ida,2
bular,2
qurilishi,2
ushbu,2
arab,2
narxiga,2
shartlari,2
86,2
xabarlar,2
sanoat,2
qildi,2
haqida,2
ekani,2
xavfi,2
investorlar,2
petroleum,2
lozim,2
abu,2
jamiyati,2
albatta,2
qo‘shma,2
zarar,2
22,2
mehmonxona,2
qilishicha,2
aytishdi,2
efirga,2
oshirilishiga,2
group'ga,2
bergan,2
bitim,2
qonun,2
qoldi,2
ofshor,2
sizlar,2
guruhi,2
olganda,2
qiymati,2
taqaladi,2
chiqdi,2
],2
bo‘lmish,2
manfaati,2
avgust,2
tarixi,2
tutuvchi,2
16,2
shubhali,2
bechora,2
o‘zlari,2
ishlab,2
o‘rtada,2
ishlash,2
bunday,2
ko‘rsatish,2
60,2
qolaversa,2
qadar,2
bozorda,2
qurilayotgan,2
o‘tdi,2
sovg‘asini,2
e’lon,2
yetarli,2
ortiq,2
tarzda,2
ko‘rgan,2
saneg,2
o‘rin,2
kecha,2
energetika,2
konkurs,2
insonlar,2
potensial,2
shifoxonalarni,2
axborot,2
harakat,2
2025,2
chiqishi,2
noyabr,2
ta’sir,2
rahbariyati,1
kuchaytirish,1
ravishda,1
fozilovga,1
uning toshkent,1
bilgan,1
moliyaviy,1
to‘liq,1
tashkent,1
53,1
o‘zgartirildi,1
ko‘pchilik,1
maykl,1
deganman,1
assambleyasi,1
yutgan,1
bo‘lganmiz,1
galda,1
nogironligi,1
qilinib,1
keyslarni,1
xususiylashtirilgani,1
korxonasi,1
oshmaganini,1
bakirov,1
odatda,1
aynan,1
samaradorligi,1
qamalib,1
tadbirkor,1
birinchi,1
tizimini,1
o‘tkaziladi,1
sodir,1
samarasiz,1
sari,1
ahrorov,1
shaxsdir,1
berganman,1
yakunlagan,1
uzbek,1
teskarisi,1
turib,1
avtomashinalarining,1
64,1
boshlanmasidan,1
viloyatlaridagi,1
berolasizmi,1
topshirib,1
etilmagan,1
ko‘rib,1
investitsiyaviy,1
yengib,1
ismli,1
tushunishadi,1
shoularni,1
evaziga,1
vaqtiga,1
tushumlari,1
suhbatlashgan,1
oligarxlar,1
chiqishimiz,1
68,1
uxlatib,1
odamlarga,1
89,1
yutuqli,1
balki,1
yopiq,1
tayanilib,1
tuzib,1
hammasini,1
bitimlarning,1
qilmoqda,1
etavergan,1
urchitadi,1
muhimroq,1
o‘zaro,1
eksklyuziv,1
manzilda,1
kiritishiga,1
huquqiga,1
yaxshilanadi,1
qiymatdagi,1
4859,1
sotish,1
korxonaga,1
chiqaradi,1
xos,1
beradigan,1
berishdir,1
muhitiga,1
qolib,1
tarixini,1
o‘zlarida,1
tabiiyki,1
sotilgani,1
hukumatning,1
kechib,1
yopildi,1
aytiladi,1
markazidagi,1
mln,1
ko‘ringlar,1
cheklaydi,1
barbod,1
100,1
tushishi,1
so‘z,1
cho‘zilib,1
missiyasining,1
aksiyadorlarga,1
ko‘rsatuvdan,1
ataladi,1
qilinadi,1
davr,1
zaxiralarining,1
oluvchi,1
qahramonlari,1
deyishdi,1
oyidagi,1
yozilishicha,1
tarafidan,1
bilsam,1
instagram'sahifasi,1
safar,1
onkologiya markazi hamda,1
firibgar,1
2021–2025,1
yetgani,1
aldayman,1
buyurtmasini,1
yakunlari,1
yuborilgandi,1
aytilgan,1
gorniye,1
deyishgan,1
mamlakatning,1
firmani,1
bo‘lardi,1
qilingandi,1
ishlaydigan,1
mubadala,1
o‘zbekistondan,1
mukofotlarini,1
ikkita-uchta,1
iqtisodiyotining,1
tikkan,1
teleboshlovchi,1
ketadigan,1
ochyapman,1
2022,1
qayerda,1
dollardan,1
e’tibordan,1
e’tirozlarni,1
to‘lash,1
qurmoqchi,1
shartlarida,1
sarmoyadorlar,1
korrupsiyani,1
tark,1
chekkarog‘ida,1
bolalarni,1
xatlar,1
ustidagi,1
bildirib,1
tergov,1
jamoatchilikka,1
oshadi,1
manfaatini,1
deyilmagan,1
natijalariga,1
olishdan,1
aktivlarga,1
maqsadlaridan,1
insonlarga,1
bahorda,1
ko‘pgina,1
keltiruvchi,1
iqtisodchi,1
shaxslarning,1
kechikish,1
narxlardan,1
wealth,1
12,1
investorlarning,1
sahifasida,1
pulsiz,1
majburiyatlar,1
investorning,1
ulushdorlarning,1
oligarxiya,1
turlicha,1
qiladigan,1
yilga,1
bo‘lganini,1
qozog‘istonda,1
ulgurdi,1
imtiyozlarning,1
makgofi,1
qildik,1
shiori,1
borgan,1
ijodkorlari,1
qa’ridan,1
egaligi,1
o‘tishda,1
mantiqqa,1
bozordagi,1
belgilashgan,1
beryapmiz,1
shunday,1
29,1
uchrashuv,1
yagona,1
mazmunini,1
jarayonning,1
oshirilgan,1
ikki-uchta,1
qaytarib,1
berishi,1
boshqalarga,1
sovrindorlarining,1
quruvchi,1
adolatli,1
gul’takin,1
shahar va toshkent,1
boricha,1
iqtisodiyotga,1
salbiy,1
benefitsiarlikka,1
qiymatini,1
mening,1
menejyeri,1
o‘zgarishlar,1
yozib,1
topshirishdan,1
ololmayotgani,1
kompaniyaga sotilgan,1
benzin,1
sotildimi,1
ochiq-oydin,1
qisqartirish,1
kechishi,1
sotilmadimi,1
qilishgan,1
xususiyati,1
bekobodsement,1
sektor,1
o‘zbekcha,1
yakka,1
ko‘payaveradi,1
mulklarining,1
a’zosi,1
minnatdormiz»,1
6500,1
sarflashga,1
aviatsiya,1
zamin,1
kelinmoqda,1
shuncha,1
kelyapti,1
berib,1
qolganini,1
milliardlab,1
tashrifi,1
ulushini,1
bir-birimizga,1
qarorlari,1
chiqqan,1
28,1
ko‘rganman,1
kengaytirish,1
xususiylashtirmoqchi,1
byurokratlarning,1
arzonroqqa,1
inkor,1
beramiz,1
kungacha,1
ziyon,1
ulardagi,1
kelmaydi,1
ulardan,1
belgisi,1
bechoralar,1
possovet,1
kapitalidagi,1
nega,1
qorako‘zlarga,1
kuni investitsiyalar,1
to‘g‘risidagi,1
kelishuvda,1
xodimlarning,1
oldi-sotdilar,1
chetda,1
yetarlicha,1
o‘zingiz,1
matbuot,1
dekabrda,1
jarayonining,1
nazarov,1
qo‘zg‘atilgan,1
pitssa,1
aytib,1
nishonlanadi,1
kompleksi,1
berilmagandir,1
noroziligini,1
tajribasidan,1
kompaniyadagilar,1
raqobatli,1
o‘yinni,1
98,1
surishtirganman,1
joylashgan,1
yuborish,1
uyg‘onadi,1
toshkentdagi,1
shirkatiga,1
xorijiy,1
bunaqa,1
qanchadan-qancha,1
tushirilishi,1
viloyati filiallari,1
bo‘lmasa,1
ustav,1
o‘zbekistondagi,1
2013-2016,1
ulushiga,1
sotilyapti,1
konditsionerni,1
oxir-oqibat,1
mutanosib,1
savollarni,1
mumkinligi,1
o‘chiq,1
birovni,1
yurib,1
to‘loviga,1
degani,1
o‘zbekistonliklarga,1
aksiyasi,1
vakillarini,1
davlatga,1
hissasiga,1
1992,1
egallab,1
bog‘lanayotganidan,1
zarurligi,1
chiqib,1
topshirildi,1
dollarni,1
aytdi,1
mablag‘,1
teleo‘yinlarni,1
insonga,1
boshlovchiman-ku,1
qolganimizda,1
«jamiyatning,1
mehmonxonasining,1
infratuzilmaviy,1
pudratchi,1
205,1
ta’sischi,1
petroleum'ga,1
xaridorlarda,1
kerosini,1
masalan,1
o‘qilmagan,1
talablarni,1
nazorat,1
etilgan,1
asosida,1
so‘nggi,1
ulishi,1
sonini,1
monopoliya,1
iste’dodi,1
ko‘zlovchi,1
avvalroq,1
rasman,1
tushadi,1
tovarni,1
sotilaveradi,1
tutadi,1
olmayapti,1
iqtisodiyotda,1
o‘rniga,1
yarmini,1
o‘tishiga,1
foydalanadi,1
oshirish,1
o‘ziga,1
bo‘lishida,1
   ,1
so‘mlik,1
taklif,1
sizlarga,1
ketdi,1
tamoyillari,1
borilmoqda,1
qilindi,1
to‘sqinlik,1
ta’kidlandi,1
central,1
prokuraturaga,1
olishning,1
keltirilgan,1
energiyasi,1
aylantirishi,1
bog‘lanib,1
imzolagan,1
to‘qnashuvini,1
chiqarayotgan,1
o‘marilganini,1
kechmoqda,1
elementlar,1
90,1
raboti,1
to‘laqonli,1
doston,1
muddati,1
shifoxonalari,1
mulkdorlarga,1
aksiyaning,1
qo‘lini,1
ofshorda,1
qilmaydi,1
borki,1
qilamiz,1
xo‘jayevga,1
alloh,1
chegarasi,1
xabarlarda,1
teleo‘yinida,1
bo‘lyapti,1
haqiqatda,1
baxtiyor,1
borasida,1
savdolarda,1
mamedova,1
sarmoyalarning,1
aralashuvini,1
kiritilmay,1
suratga,1
oldiga,1
ekanini,1
talabgorlar,1
fusion,1
vazirligi,1
bu kabi,1
ortadi,1
sotuvlar,1
uchala,1
qoldirmaydigan,1
motors,1
ko‘rsatuvim,1
ochiqlagan,1
huquqini,1
ahvolda,1
ta’sirining,1
o‘sishga,1
ta’kidlashicha,1
haqqini,1
judayam,1
tumanida,1
hokimiyatni,1
bilvosita,1
oshirgan,1
eshittirilmagan,1
olmaganini,1
yuritildi,1
begona,1
[telefon],1
xususiylashtirishdan,1
ichki,1
aylanib,1
ya’ni,1
olmazor,1
qochgan,1
grafikka,1
tashqarida,1
maa,1
xalaqit,1
tez-tez,1
to‘xtatishgan,1
asosan,1
40,1
rayblock,1
ajablanarli,1
instagram'dan,1
millatlar,1
istagini,1
xususiylashtirilayotgan,1
tengi,1
yomon,1
soliq,1
narsalarga,1
kompleksga,1
ltd,1
kamayib,1
kelishuvlar,1
omil,1
manfaatlar,1
olingani,1
qaratishga,1
xususiylashtirishning,1
rasmiylari,1
ayblayapti,1
ko‘chiriladi,1
qo‘llab-quvvatlashga,1
oydinlashtiriladi,1
yaratadi,1
ro‘yxati,1
mchjdan,1
davom,1
gektar,1
sentyabr,1
tasdiqlangan,1
ekspertlarning,1
xit,1
ikkitasi,1
chiqarish,1
bayram,1
qabul,1
tahr,1
zavodining,1
qimmatroqqa,1
chegirma,1
tarbiyalanuvchisi,1
banki,1
jarayonlaridagi,1
mobaynida,1
stansiyalaridan,1
muhtojlarga,1
[11ta,1
holdingiga,1
raqamlari,1
uzauto,1
norasmiy,1
misollardan,1
ko‘rsatgan,1
mahsulotlarni,1
cho‘zishga,1
qilganmiz,1
qonunchilik,1
berilganini,1
undagi,1
surati,1
binolarining,1
mehmonlarining,1
qarashli,1
cho‘ntakda,1
fikri,1
pastligi,1
reputatsiya,1
bo‘lishga,1
aktivi,1
boshqaruvchi,1
iborat,1
sifatida,1
qiyinchiliklariga,1
vaziyatlarda,1
toifa,1
to‘lovlari,1
qurilishlar,1
keltirmoqda,1
davaktiv,1
ishtirokidagi,1
fondi,1
sof,1
muhimligi,1
uzcard'dagi,1
mchjga,1
xaridorgir,1
ulushga,1
raqobatni,1
dedim,1
yerni,1
yozishmalari,1
otabek,1
tekinga,1
kiritishmaydi,1
kimdir,1
qilgandi,1
emasmidi,1
210,1
bo‘lmagani,1
yuzaga,1
aldashdi,1
bo‘lganlarga,1
kamaytirishni,1
dilerlardan,1
sotilishiga,1
rivojlanishi,1
jizzaxda,1
xizmatining,1
35,1
hisob-kitob,1
ichida,1
o‘shanda,1
farg‘ona,1
puldan,1
surishtirib,1
direktori,1
menga,1
paytlarda,1
ko‘rsatuvining,1
bozorning,1
tendersiz,1
bizning,1
keysi,1
aslida,1
tashkilotining,1
nuqtalarida,1
qolgach,1
olsin,1
ko‘rsatadi,1
olayotgan mimar,1
aytarli,1
rayeross,1
bog‘liq,1
ajralmas,1
holatlari,1
tasarrufidagi,1
tashabbuslari,1
qo‘shimcha,1
duk,1
ochiqlamagan,1
vujudga,1
oshmay,1
bo‘lmayman,1
dizel,1
ko‘ryapman,1
tanqid,1
aktivlarining,1
stansiyaning,1
sentabr,1
qo‘yilishi,1
qo‘shib,1
konga,1
asia,1
gazprom,1
fikrlarini,1
investment,1
kamaytiradi,1
qilasan,1
foizga,1
bo‘lasiz,1
bo‘lib-bo‘lib,1
ⓣ,1
holatiga,1
raybirid,1
amirliklarining,1
borishiga,1
shaffofligiga,1
sababi,1
sovg‘alar,1
mulkidan,1
haqlari,1
tanlanmoqda,1
demakdir,1
aylanishga,1
akani,1
ko‘rsatuvlarimni,1
ololmaganidan,1
ajratilgan,1
og‘ir,1
oshishida,1
sanasi,1
olinayotganida,1
xilligining,1
tariqasida,1
mavzu,1
umumiy,1
ayrim,1
kompaniyalarga,1
uyushtirsangiz,1
bularning,1
vakili,1
xo‘jayevning,1
videoda,1
hayot,1
iloji,1
ko‘chirilishi,1
yuraversam,1
elektr,1
xarajatlarni,1
hech,1
sonlarimda,1
jumladan,1
noto‘g‘ri-ku,1
oxirida,1
real,1
bosqichma-bosqich,1
aqliga,1
rebrendingdan,1
sotuvga,1
103,1
ajga,1
kelgusida,1
maydoni,1
o‘zimizning,1
bermasak,1
ko‘zim,1
allaqachon,1
pullar,1
hisobotida,1
oyidan,1
xulosalariga,1
iesni,1
edik,1
berilganiga,1
tarmoqlarda,1
yo‘qdek,1
ko‘paysa,1
konlariga,1
vositasi,1
qilayotgan,1
birga,1
55,1
keltirib,1
quvasoysement,1
ketgunimgacha,1
2ta,1
management,1
oid,1
qondira,1
regency,1
nafaqat,1
jihatlar,1
talabni,1
nuqtasi,1
olmaganman,1
chiqarmasdan,1
ehtimoli,1
anglab,1
linkiden'dagi,1
ma’lumotlariga,1
natijada,1
raqobatga,1
budjetiga,1
yutuqlari,1
izohlarni,1
chiqardi,1
to‘plamlari,1
masalalarda,1
600,1
energy,1
obektlarini,1
qarab,1
videomurojaati,1
vaqtida,1
dhabi,1
oshirilayotgan,1
turgan,1
qiymatlarda,1
oziq-ovqat,1
barobarida,1
2020-2021,1
buyurtmalarini,1
ba’zi,1
yaxshilash,1
tarqalgan,1
aytilyapti,1
yeb,1
trillion,1
valuta,1
olsak,1
zararga,1
manzili,1
bermagan,1
cho‘qqiga,1
burg‘ilash,1
xususan,1
hyatt,1
gaplashganimda,1
turfa,1
kechirish,1
neft-gaz,1
do‘stlarimizga,1
samaradorlikni,1
shundan,1
aniqlik,1
ishtirokchisi,1
sog‘lom,1
xizmatchilari,1
qiyinchiliklarni,1
javobgar,1
trln,1
amaldagi,1
ijobiy,1
qiziqtirdi,1
kompaniyaning,1
bekor,1
ayanchli,1
kechdim,1
2017,1
qurilgan,1
sababga,1
cheklash,1
tasarrufidan,1
yozishyapti,1
duch,1
respublika,1
stansiyalarini,1
toshkentning,1
shifoxonaning,1
loyihalarda,1
aytganman,1
tuzilganmi,1
kelishilgan,1
jamg‘armasi,1
chaqirishdi,1
etilayotgandi,1
davlatlari,1
munozarali,1
sherigi,1
